,count,mean,std,min,25%,50%,75%,max
price,21722.0,29370.555795967222,8973.263316951945,8950.0,22890.0,28295.0,34890.0,72750.0
lease_price_per_month,20106.0,414.31383666567194,111.71144118910163,144.0,336.0,397.0,474.0,981.0
km,21722.0,60361.278611545895,47694.36767266843,0.0,22893.0,51182.0,88972.0,311262.0
car_age_in_months,21722.0,42.76116379707209,25.576176955677305,0.0,24.0,41.0,64.0,111.0
previous_owners,7028.0,1.3609846328969835,1.1601012544162381,0.0,1.0,1.0,2.0,7.0
full_service_history,21722.0,0.0510081944572323,0.22001951528569152,0.0,0.0,0.0,0.0,1.0
gears,17487.0,5.059644307199634,2.490365640186727,1.0,1.0,6.0,7.0,8.0
cylinders,17132.0,3.6160401587672193,0.515381990162357,1.0,3.0,4.0,4.0,8.0
electric_range,4032.0,226.94890873015873,211.7977540766246,35.0,54.0,69.0,448.0,840.0
engine_power_hp,19695.0,206.33175932977912,88.07485607365247,72.0,132.0,184.0,261.0,678.0
engine_size_cc,17251.0,1583.0999362355806,246.65973719721433,988.0,1477.0,1498.0,1798.0,2995.0
empty_weight_kg,20855.0,1552.0383601054903,242.1617445158278,1090.0,1374.0,1539.0,1793.0,2824.0
co2_emission_g_per_km,16933.0,69.28264335912124,55.918532793355645,0.0,0.0,86.0,116.0,255.0
Bluetooth,21722.0,0.878234048430163,0.32702282475138267,0.0,1.0,1.0,1.0,1.0
Sport suspension,21722.0,0.09907006721296381,0.2987629464326536,0.0,0.0,0.0,0.0,1.0
Induction charging for smartphones,21722.0,0.3801675720467729,0.48543901543570256,0.0,0.0,0.0,1.0,1.0
Seat heating,21722.0,0.7137464321885646,0.4520197660995928,0.0,0.0,1.0,1.0,1.0
Adaptive Cruise Control,21722.0,0.7396188196298683,0.4388526945153484,0.0,0.0,1.0,1.0,1.0
Blind spot monitor,21722.0,0.5654635853052206,0.49570740492887566,0.0,0.0,1.0,1.0,1.0
Touch screen,21722.0,0.039637234140502714,0.19510990829139532,0.0,0.0,0.0,0.0,1.0
Navigation system,21722.0,0.9152932510818526,0.27845122558984203,0.0,1.0,1.0,1.0,1.0
Lane departure warning system,21722.0,0.7830310284504189,0.41219080357963994,0.0,1.0,1.0,1.0,1.0
Parking assist system self-steering,21722.0,0.2652149894116564,0.44145777893411214,0.0,0.0,0.0,1.0,1.0
Apple CarPlay,21722.0,0.6395359543320136,0.4801461555267115,0.0,0.0,1.0,1.0,1.0
Shift paddles,21722.0,0.2266365896326305,0.4186651587302148,0.0,0.0,0.0,0.0,1.0
Start-stop system,21722.0,0.5147776447840898,0.4997930779430942,0.0,0.0,1.0,1.0,1.0
Rear seat heating,21722.0,0.17291225485682718,0.37818010404333735,0.0,0.0,0.0,0.0,1.0
Rear airbag,21722.0,0.69777184421324,0.4592341521526684,0.0,0.0,1.0,1.0,1.0
Xenon headlights,21722.0,0.04539176871374643,0.20816664226747292,0.0,0.0,0.0,0.0,1.0
On-board computer,21722.0,0.38108829757849183,0.4856653844403861,0.0,0.0,0.0,1.0,1.0
WLAN / WiFi hotspot,21722.0,0.20168492772304575,0.4012674048659807,0.0,0.0,0.0,0.0,1.0
Parking assist system camera,21722.0,0.6619095847527852,0.47307038491203224,0.0,0.0,1.0,1.0,1.0
Emergency brake assistant,21722.0,0.5589724703066016,0.49652149725344924,0.0,0.0,1.0,1.0,1.0
Leather seats,21722.0,0.24288739526747077,0.4288374687820649,0.0,0.0,0.0,0.0,1.0
Speed limit control system,21722.0,0.19712733634103674,0.3978384546771137,0.0,0.0,0.0,0.0,1.0
Electrically adjustable seats,21722.0,0.18842648006629223,0.3910613531877457,0.0,0.0,0.0,0.0,1.0
Keyless central door lock,21722.0,0.717061044102753,0.45043739144316686,0.0,0.0,1.0,1.0,1.0
Seat ventilation,21722.0,0.06173464690175859,0.24067851374353633,0.0,0.0,0.0,0.0,1.0
Ambient lighting,21722.0,0.14809870177700027,0.3552059751258839,0.0,0.0,0.0,0.0,1.0
Android Auto,21722.0,0.6181290857195471,0.48585634323753757,0.0,0.0,1.0,1.0,1.0
Distance warning system,21722.0,0.03240953871650861,0.17708925501605832,0.0,0.0,0.0,0.0,1.0
Panorama roof,21722.0,0.3808581161955621,0.48560896575047097,0.0,0.0,0.0,1.0,1.0
Sport seats,21722.0,0.19519381272442685,0.3963589541273654,0.0,0.0,0.0,0.0,1.0
Electronic parking brake,21722.0,0.07333578860141791,0.260692883241684,0.0,0.0,0.0,0.0,1.0
Sunroof,21722.0,0.09004695700211766,0.2862556110437064,0.0,0.0,0.0,0.0,1.0
Armrest,21722.0,0.7922382837676089,0.4057146328055686,0.0,1.0,1.0,1.0,1.0
Traffic sign recognition,21722.0,0.6370499953963723,0.48086166787905016,0.0,0.0,1.0,1.0,1.0
Electrically heated windshield,21722.0,0.05574993094558512,0.22944345641723787,0.0,0.0,0.0,0.0,1.0
360° camera,21722.0,0.10445631157351994,0.3058586229232454,0.0,0.0,0.0,0.0,1.0
Rain sensor,21722.0,0.8437989135438726,0.363054231503864,0.0,1.0,1.0,1.0,1.0
years_active_on_platform,20994.0,9.340668762503572,7.185955225889078,0.0,3.0,7.0,14.0,25.0
lat,20302.0,52.073191237076806,0.5016875192195198,50.81279489197729,51.69946235373247,52.059022546804165,52.3609506131691,53.42001270650452
lon,20302.0,5.354041457784598,0.7388084504006505,3.3879039992503306,4.751432394650011,5.297082604501153,5.897133580172526,7.05219513957864
